"dist","meanR2","pop"
1000,0.87236228834392,"MB"
2000,0.860888408777364,"MB"
3000,0.859636042181961,"MB"
4000,0.847911683940119,"MB"
5000,0.830809912656478,"MB"
6000,0.816794511668107,"MB"
7000,0.802756171795739,"MB"
8000,0.780807811715524,"MB"
9000,0.787966582033102,"MB"
10000,0.786817396935031,"MB"
11000,0.778623180604599,"MB"
12000,0.807156354808029,"MB"
13000,0.817891838789099,"MB"
14000,0.803369307712556,"MB"
15000,0.814708659701456,"MB"
16000,0.825040169026202,"MB"
17000,0.815382396976168,"MB"
18000,0.796375735923112,"MB"
19000,0.80056488955239,"MB"
20000,0.795582572953164,"MB"
21000,0.810115998194994,"MB"
22000,0.79930728769531,"MB"
23000,0.806405290754354,"MB"
24000,0.792094469613704,"MB"
25000,0.774876168410961,"MB"
26000,0.76973844189793,"MB"
27000,0.742985862640719,"MB"
28000,0.754778446811796,"MB"
29000,0.761368902344836,"MB"
30000,0.74900036207358,"MB"
31000,0.734389913095896,"MB"
32000,0.72901237742577,"MB"
33000,0.751047830374753,"MB"
34000,0.738379714098454,"MB"
35000,0.763396130633425,"MB"
36000,0.755025000498018,"MB"
37000,0.749053321543903,"MB"
38000,0.749966261808367,"MB"
39000,0.741825035028516,"MB"
40000,0.737074166432048,"MB"
41000,0.74333380791604,"MB"
42000,0.745285369694795,"MB"
43000,0.719090668727628,"MB"
44000,0.753263465656399,"MB"
45000,0.751448047598408,"MB"
46000,0.743544438922938,"MB"
47000,0.734065794114189,"MB"
48000,0.732744724501759,"MB"
49000,0.734502337318496,"MB"
50000,0.750182529028004,"MB"
51000,0.742839574282233,"MB"
52000,0.732759005739554,"MB"
53000,0.725398217331764,"MB"
54000,0.719284706297407,"MB"
55000,0.725648816444727,"MB"
56000,0.729953641203291,"MB"
57000,0.751884438782281,"MB"
58000,0.756412444211079,"MB"
59000,0.765166717062041,"MB"
60000,0.740376809159878,"MB"
61000,0.761424731182796,"MB"
62000,0.764475150753051,"MB"
63000,0.747001896923126,"MB"
64000,0.758752053044589,"MB"
65000,0.742962387954772,"MB"
66000,0.707266358622746,"MB"
67000,0.703672714461864,"MB"
68000,0.732400916689135,"MB"
69000,0.711927099572008,"MB"
70000,0.695586297760211,"MB"
71000,0.709557127479625,"MB"
72000,0.662286308718103,"MB"
73000,0.670835948286683,"MB"
74000,0.686710163172421,"MB"
75000,0.654176075004909,"MB"
76000,0.639905003166561,"MB"
77000,0.658139767721265,"MB"
78000,0.615799705054297,"MB"
79000,0.622738147618524,"MB"
80000,0.636442008466736,"MB"
81000,0.679385373964395,"MB"
82000,0.666912595755369,"MB"
83000,0.712738998482549,"MB"
84000,0.694443567482242,"MB"
85000,0.696648634806824,"MB"
86000,0.697694304473966,"MB"
87000,0.687632867358114,"MB"
88000,0.691450832126073,"MB"
89000,0.698544433094995,"MB"
90000,0.701119596648625,"MB"
91000,0.682207769066287,"MB"
92000,0.675902896976915,"MB"
93000,0.67264,"MB"
94000,0.68014597825022,"MB"
95000,0.675070078343995,"MB"
96000,0.708471446848104,"MB"
97000,0.707314393344844,"MB"
98000,0.677636757182212,"MB"
99000,0.680975146380964,"MB"
1e+05,0.683388066347545,"MB"
1000,0.889569955705627,"FA"
2000,0.879260718977666,"FA"
3000,0.878834412695274,"FA"
4000,0.874867591269646,"FA"
5000,0.8779324111959,"FA"
6000,0.868311048362539,"FA"
7000,0.866669785923036,"FA"
8000,0.878929180436718,"FA"
9000,0.858494131075224,"FA"
10000,0.861352891449325,"FA"
11000,0.867443976889423,"FA"
12000,0.856194225297465,"FA"
13000,0.86911886091622,"FA"
14000,0.860603926626054,"FA"
15000,0.865652445044951,"FA"
16000,0.851679120802198,"FA"
17000,0.835227984186895,"FA"
18000,0.816676968947713,"FA"
19000,0.827473453564807,"FA"
20000,0.842627494456763,"FA"
21000,0.836789623902598,"FA"
22000,0.842442122331322,"FA"
23000,0.85769422310757,"FA"
24000,0.829172688852705,"FA"
25000,0.828655217717718,"FA"
26000,0.849553503859543,"FA"
27000,0.821592576360969,"FA"
28000,0.823583484026522,"FA"
29000,0.831451898444171,"FA"
30000,0.803577170418006,"FA"
31000,0.824887443225768,"FA"
32000,0.818494594195873,"FA"
33000,0.803972455436536,"FA"
34000,0.812805925990384,"FA"
35000,0.808280315259709,"FA"
36000,0.799562092436575,"FA"
37000,0.791097481646687,"FA"
38000,0.818010862359121,"FA"
39000,0.791215905515622,"FA"
40000,0.781861990575197,"FA"
41000,0.785701237334373,"FA"
42000,0.778840249144662,"FA"
43000,0.781112041008474,"FA"
44000,0.805009525458954,"FA"
45000,0.794369238435346,"FA"
46000,0.796995393418579,"FA"
47000,0.794209092421596,"FA"
48000,0.791973812820722,"FA"
49000,0.789996807491753,"FA"
50000,0.775317651269611,"FA"
51000,0.802640659032585,"FA"
52000,0.78236294186483,"FA"
53000,0.800709547220851,"FA"
54000,0.79998158658637,"FA"
55000,0.793754186589056,"FA"
56000,0.803994423706162,"FA"
57000,0.821954206363473,"FA"
58000,0.808899574149469,"FA"
59000,0.804553713659896,"FA"
60000,0.817199326167936,"FA"
61000,0.813915379118307,"FA"
62000,0.796645214477568,"FA"
63000,0.809533450014367,"FA"
64000,0.805406999067522,"FA"
65000,0.809047492703635,"FA"
66000,0.80814131038312,"FA"
67000,0.796490382175303,"FA"
68000,0.810096090734858,"FA"
69000,0.795532009484292,"FA"
70000,0.816068652849741,"FA"
71000,0.81221575527883,"FA"
72000,0.805186786045076,"FA"
73000,0.810599201065246,"FA"
74000,0.793000107752815,"FA"
75000,0.800482250502344,"FA"
76000,0.806159557542238,"FA"
77000,0.792127561028771,"FA"
78000,0.780509668331412,"FA"
79000,0.783127481821464,"FA"
80000,0.791195868909453,"FA"
81000,0.778982172907026,"FA"
82000,0.763834554818263,"FA"
83000,0.765312169045338,"FA"
84000,0.769000126246686,"FA"
85000,0.756586259156353,"FA"
86000,0.737055550315948,"FA"
87000,0.751999143224332,"FA"
88000,0.741470477149691,"FA"
89000,0.726677717378056,"FA"
90000,0.719487287401282,"FA"
91000,0.720294152532321,"FA"
92000,0.7033579820486,"FA"
93000,0.704063816977724,"FA"
94000,0.705154281178688,"FA"
95000,0.69583626099387,"FA"
96000,0.694707220692133,"FA"
97000,0.704064255394861,"FA"
98000,0.701155677280639,"FA"
99000,0.674605435940636,"FA"
1e+05,0.675295724411937,"FA"
